n,seed,fractional,independent,rounded,certificate,effective_n,solver_residual
8,10,0.3510671474186257,0.92546846154246,0.7762280010408376,0.9254684615424595,1.8335637756372192,2.220446049250313e-16
8,11,0.2500608710583437,0.6609049707453049,0.5602797086857598,0.6609049707453049,1.8259544526661717,2.220446049250313e-16
8,12,0.1855692200220919,0.3885525161957273,0.28018595855709527,0.3885525161957274,2.742627943089753,2.220446049250313e-16
8,13,0.18514454209039768,0.32511283494515364,0.21277491249830505,0.32511283494515364,3.968281779699654,2.220446049250313e-16
8,14,0.3089374862788824,0.774427576123373,0.6221136385462045,0.774427576123373,1.99104659595712,2.220446049250313e-16
8,15,0.1894914063029495,0.30950290103414435,0.21392751842328164,0.30950290103414435,4.736831419208084,2.220446049250313e-16
8,16,0.16891184258707584,0.26460078245995877,0.1888293857015672,0.26460078245995877,5.295654110437378,2.220446049250313e-16
8,17,0.1710784384762873,0.3340287346916909,0.22671771221947373,0.33402873469169075,3.1496433412457105,2.220446049250313e-16
8,18,0.2097278843846189,0.4722429810150255,0.3558477048863667,0.4722429810150255,2.396752267697888,2.220446049250313e-16
8,19,0.5906358842512477,2.156403119468298,2.0896176908487236,2.156403119468298,1.1316545734897296,2.220446049250313e-16
16,0,0.11262113838560563,0.1890731586002245,0.1454552469236727,0.1890731586002245,4.41928694896949,2.220446049250313e-16
16,1,0.15833368743188359,0.31873098673349676,0.23357581477253608,0.31873098673349676,2.961403118156326,2.220446049250313e-16
16,2,0.16666858444126492,0.26566522062696435,0.19151638043439587,0.2656652206269643,5.050734778360311,2.220446049250313e-16
16,3,0.22398890236418498,0.3480099321944373,0.24343497216577076,0.3480099321944373,5.418167451215942,2.220446049250313e-16
16,4,0.4510664803839311,0.8461087516997254,0.5635950583639242,0.8461087516997254,3.4254547915710414,2.220446049250313e-16
16,5,0.15301163092743278,0.3558677813964871,0.28723461596791966,0.3558677813964871,2.2628591330403083,2.220446049250313e-16
16,6,0.08995539557972898,0.13535859052158844,0.09612761296493384,0.13535859052158844,5.94377085323535,2.220446049250313e-16
16,7,0.08418681689304433,0.15904907854751596,0.11820243046788197,0.15904907854751596,3.373668455874757,2.220446049250313e-16
16,8,0.1872591769185674,0.405952485414509,0.31909531634116745,0.40595248541450885,2.5687915858940342,4.440892098500626e-16
16,9,0.10885679003970554,0.16972002877674436,0.12398148820504536,0.16972002877674433,5.365642330176888,2.220446049250313e-16
16,10,0.11883907405942244,0.21374032321747605,0.16472831696804743,0.21374032321747605,3.756717907732749,2.220446049250313e-16
16,11,0.20847453383267409,0.34258086342200733,0.2310902019332073,0.34258086342200733,4.663639691081131,2.220446049250313e-16
16,12,0.10576336487787251,0.2011311465371849,0.15396449130063408,0.2011311465371849,3.3270155718530887,2.220446049250313e-16
16,13,0.1185752285026843,0.17894535815603685,0.13203890335343083,0.17894535815603682,5.892412150688476,2.220446049250313e-16
16,14,0.1892880756961642,0.4020345340082799,0.29124497956615014,0.4020345340082798,2.6692064892351453,2.220446049250313e-16
16,15,0.12950524911225558,0.20009069700448737,0.14657092053452295,0.20009069700448737,5.50419043780729,2.220446049250313e-16
16,16,0.10097759309708115,0.142642114679121,0.10933240005813534,0.14264211467912097,7.270761016534214,2.220446049250313e-16
16,17,0.08210647660105731,0.18035822502363064,0.15058416814648987,0.18035822502363064,2.5070233737090435,1.1102230246251565e-16
16,18,0.10609821237127408,0.1709525377053669,0.12295137337709554,0.17095253770536686,4.907839769732375,2.220446049250313e-16
16,19,0.12757220454101534,0.2238012687576179,0.16731383940413955,0.22380126875761785,3.9771415916670185,4.440892098500626e-16
