network,outage_size,outage,count,cer,diagonal,equal,robust,common
28,2,"2,3",0.1505212651455175,0.14843111332491263,0.15406085047797852,0.15438315451999668,0.1515425829656728,0.14449395555718256
29,1,0,0.14216698701943,0.138033565190278,0.1384002372746897,0.138545492684509,0.138033565190278,0.13706977531257808
29,1,1,0.15278137908892825,0.15077074880907243,0.15093880342619156,0.15339920113009126,0.1507248832490499,0.14694407717143868
29,1,2,0.13735447635330805,0.13374422774955774,0.13634180606823246,0.13683681929942249,0.13374422774955774,0.13300499637110452
29,1,3,0.15850633489782798,0.15501511562135564,0.15860994058055242,0.15860994058055242,0.15501511562135564,0.15230631830599825
29,2,"0,1",0.14855403362391567,0.14011761008860613,0.1418710262029137,0.14404078960217187,0.14011761008860613,0.13716980592350403
29,2,"0,2",0.12525270042459105,0.12563676664125054,0.1251543070832226,0.12532411415378125,0.1254889456268038,0.12617685838939535
29,2,"0,3",0.15670601197935302,0.14655919363789618,0.14902246752274392,0.15029565518296803,0.14756134071074795,0.14376676188181747
29,2,"1,2",0.1502470307040524,0.1370443334180328,0.14132855178806436,0.14497051728676197,0.1370443334180328,0.13443234087808792
29,2,"1,3",0.17646898262904,0.17506967351415642,0.17565470488033855,0.17565470488033855,0.17565470488033855,0.17470367330665898
29,2,"2,3",0.14696548167167295,0.14363990745982635,0.1485667291734629,0.148953764016031,0.1463205924833889,0.13964512298609344
30,1,0,0.10721793771899547,0.10397692488512876,0.10446290251091801,0.1059398468126596,0.10397692488512876,0.10345657617545037
30,1,1,0.11580930365402525,0.11150048025765749,0.11549827971058915,0.11742478690334189,0.11149419685421515,0.1095009432576495
30,1,2,0.10565963888998103,0.10298789141001574,0.10507545235081918,0.10590845804163446,0.1029543820240334,0.1019951977632195
30,1,3,0.12159531282237643,0.1165085731502839,0.12135728283183657,0.12153130471070384,0.11693369780774758,0.11406308373351173
30,2,"0,1",0.11182997103580734,0.1055281518782658,0.10916233416107526,0.11199858808459001,0.1055281518782658,0.10404406584102346
30,2,"0,2",0.09745821252001324,0.09734777750052129,0.09722586869103739,0.0973702380068447,0.09733370976907196,0.09765138566237683
30,2,"0,3",0.11803937508141679,0.11137271197019744,0.11656222253883648,0.11713297034829553,0.11383824413195595,0.10911017870561297
